Block,Veh,FromG,TimeOut,FromSvcPlc,TimeSvcStart,TimeSvcEnd,ToSvcPlc,TimeIn,ToG,Duration,Distance,#MissingDistances,Routes
44624,,_Gar-G,8:46,BeaJef,9:00,22:26,7miGrv,22:56,_Gar-G,14:10,182.334,0,3
17-201,,_Gar-G,9:05,MorMak,9:30,15:20,MorMak,15:45,_Gar-G,6:40,119.923,0,17
900-17,,_Gar-G,9:45,ManWoo,10:00,19:06,RdfPlz,19:36,_Gar-G,9:51,141.045,0,15;43
900-5,,_Gar-G,9:48,Rosa09,10:00,20:09,RosaDB,20:21,_Gar-G,10:33,127.617,0,2;16
3-201,,_Gar-G,10:16,BeaJef,10:30,17:45,BeaJef,17:59,_Gar-G,7:43,97.347,0,3
15-200,,_Gar-G,10:45,ManWoo,11:00,20:36,ManWoo,20:51,_Gar-G,10:06,115.09,0,15
900-210,,_Gar-G,11:35,Rosa11,11:47,20:43,RosaDB,20:55,_Gar-G,9:20,124.931,0,5;16
900-211,,_Gar-G,12:05,Rosa11,12:17,19:36,Nrt8mi,20:01,_Gar-G,7:56,114.907,0,5;16
900-218,,_Gar-G,12:28,Rosa05,12:40,21:33,RdfPlz,22:03,_Gar-G,9:35,134.386,0,27;29
17-202,,_Gar-G,12:35,MorMak,13:00,20:50,7miGrv,21:20,_Gar-G,8:45,148.051,0,17
900-500,,_Gar-G,12:48,Rosa02,13:00,15:52,RosaDB,16:04,_Gar-G,3:16,44.584,0,19;23
7-201,,_Gar-G,13:02,MeiRed,13:20,22:01,MeiRed,22:19,_Gar-G,9:17,146.122,0,7
10-201,,_Gar-G,13:06,Fairla,13:30,22:17,9miPrv,22:42,_Gar-G,9:36,138.766,0,10
39-500,,_Gar-G,13:15,ManWoo,13:30,18:55,SouFnk,19:15,_Gar-G,6:00,91.411,0,39
900-219,,_Gar-G,13:28,Rosa05,13:40,22:33,RdfPlz,23:03,_Gar-G,9:35,134.386,0,27;29
900-214,,_Gar-G,13:35,Rosa11,13:47,28:06:00,Nrt8mi,28:31:00,_Gar-G,14:56,188.819,0,5;16
15-201,,_Gar-G,13:45,ManWoo,14:00,20:39,BurPly,21:04,_Gar-G,7:19,90.261,0,15
900-215,,_Gar-G,14:05,MorMak,14:30,22:10,WarTel,22:30,_Gar-G,8:25,144.02,0,17;8
60-202,,_Gar-G,14:06,Fairla,14:30,23:09,Nor10m,23:39,_Gar-G,9:33,128.013,0,60
10-202,,_Gar-G,14:36,Fairla,15:00,22:44,Fairla,23:08,_Gar-G,8:32,123.027,0,10
18-202,,_Gar-G,15:18,Rosa03,15:30,22:52,FnkTel,23:12,_Gar-G,7:54,120.543,0,18
900-216,,_Gar-G,15:30,FnkTel,15:50,24:16:00,RosaDB,24:28:00,_Gar-G,8:58,142.111,0,18;2
900-217,,_Gar-G,15:48,Rosa02,16:00,24:31:00,ForWod,24:50:00,_Gar-G,9:02,130.382,0,19;23
900-202,,_Gar-G,15:57,MicSch,16:13,24:53:00,MicSch,25:09:00,_Gar-G,9:12,127.041,0,1;5
43-500,,_Gar-G,16:00,ManWoo,16:15,19:08,ManWoo,19:23,_Gar-G,3:23,56.839,0,43
900-203,,_Gar-G,17:18,Rosa10,17:30,27:43:00,RosaDB,27:55:00,_Gar-G,10:37,132.971,0,1;16
3-202,,_Gar-G,17:46,BeaJef,18:00,27:50:00,7miGrv,28:20:00,_Gar-G,10:34,152.696,0,3
900-204,,_Gar-G,17:48,Rosa10,18:00,27:16:00,RosaDB,27:28:00,_Gar-G,9:40,126.694,0,1;5
900-212,,_Gar-G,17:48,Rosa09,18:00,28:16:00,RosaDB,28:28:00,_Gar-G,10:40,133.618,0,2;5;1
7-202,,_Gar-G,17:55,MorMak,18:20,28:08:00,MeiRed,28:26:00,_Gar-G,10:31,164.465,0,7
8-201,,_Gar-G,18:20,MorMak,18:45,28:37:00,WarTel,28:57:00,_Gar-G,10:37,168.008,0,8
900-207,,_Gar-G,18:48,Rosa09,19:00,28:43:00,RosaDB,28:55:00,_Gar-G,10:07,122.133,0,2;16
